Player,FG%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,WS
A.J. Hammons,0.592,0.709,8.2,1.1,0.3,2.5,2,2.4,15,4.9
Aaron Gordon,0.495,0.422,8,2,0.9,1,1.4,2.4,12.4,5.4
Aaron Holiday,0.45,0.795,3.2,4.7,1.2,0.2,3,2.7,14.3,9.8
Abdel Nader,0.454,0.745,4,1.1,0.7,0.6,1.7,2.2,9.5,3.7
Adreian Payne,0.526,0.755,5.3,0.6,0.6,1,1.4,2.2,8.9,13.2
Alec Peters,0.489,0.829,6.7,1.2,0.7,0.3,1.4,2,16.8,6.7
Alize Johnson,0.488,0.677,10.6,1.9,0.6,0.2,2.3,2.5,14.8,4.6
Andrew Harrison,0.327,0.777,2.7,3.8,0.8,0.2,2.2,2.4,10.1,8.3
Andrew Wiggins,0.448,0.775,5.9,1.5,1.2,1,2.3,2.7,17.1,4.9
Anthony Brown,0.415,0.667,1.3,0.7,0.5,0,0.7,1.1,2.6,0.5
Bam Adebayo,0.599,0.653,8,0.8,0.7,1.5,1.7,2.6,13,5.6
Ben Bentil,0.462,0.782,7.7,1.1,0.9,1,1.9,2.8,21.1,5.8
Ben Simmons,0.56,0.67,11.8,4.8,2,0.8,3.4,2.8,19.2,6
Bobby Portis,0.536,0.737,8.9,1.2,1.1,1.4,1.6,2.2,17.5,6.1
Branden Dawson,0.535,0.49,9.1,1.7,1.2,1.7,1.9,2.1,11.9,4.4
Brandon Ingram,0.442,0.682,6.8,2,1.1,1.4,2,2.1,17.3,4.9
Brice Johnson,0.566,0.678,7.8,0.9,0.7,1.1,1.5,2.9,12.9,4.7
Bruce Brown,0.442,0.702,6.2,3.5,1.4,0.6,2.1,2.4,11.7,6.3
Buddy Hield,0.501,0.88,5.7,2,1.1,0.5,3.1,2.1,25,7.6
C.J. Wilcox,0.433,0.84,3.4,1.6,0.9,0.7,1.4,1.9,14.4,15.5
Caleb Swanigan,0.527,0.781,12.5,3.1,0.4,0.8,3.4,2.8,18.5,6.4
Cameron Payne,0.456,0.787,3.7,6,1.9,0.5,2.5,2.1,20.2,7.3
Caris LeVert,0.439,0.767,4.3,2.9,1.2,0.3,1.7,1.7,12.9,4.4
Chandler Hutchison,0.475,0.728,7.7,3.5,1.5,0.3,3.4,2.4,20,5
Joel Embiid,0.626,0.685,8.1,1.4,0.9,2.6,2.4,3.4,11.2,3.4
Trae Young,0.422,0.861,3.9,8.7,1.7,0.3,5.2,1.8,27.4,5.7
Karl-Anthony Towns,0.566,0.813,6.7,1.1,0.5,2.3,1.4,2.9,10.3,6.4
Donovan Mitchell,0.408,0.806,4.9,2.7,2.1,0.5,1.6,2.6,15.6,5.4
Devin Booker,0.47,0.411,2,1.1,0.4,0.1,1,1.5,10,4.5
Jayson Tatum,0.452,0.849,7.3,2.1,1.3,1.1,2.6,3,16.8,4.1
Shai Gilgeous-Alexander,0.485,0.817,4.1,5.1,1.6,0.5,2.7,1.7,14.4,10.73
De'Aaron Fox,0.479,0.736,4,4.6,1.5,0.2,2.4,2.5,16.7,5.1
Julius Randle,0.501,0.706,10.4,1.4,0.5,0.8,2.5,2.3,15,5.9
Zach Lavine,0.441,0.691,2.5,1.8,0.9,0.2,1.1,2,9.4,2.5
D'Angelo Russell,0.449,0.756,5.7,5,1.6,0.3,2.9,2.1,19.3,6.8
Deandre Ayton,0.612,0.733,11.6,1.6,0.6,1.9,2,2.3,20.1,7.6
Pascal Siakam,0.539,0.678,11.6,1.7,1,2.2,2,2.7,20.3,7.8
Domantas Sabonis,0.611,0.769,11.8,1.8,0.6,0.9,2.6,3.2,17.6,7.5
Collin Sexton,0.447,0.778,3.8,3.6,0.8,0.1,2.8,2.5,19.2,4.4
Jaylen Brown,0.431,0.654,5.4,2,0.8,0.6,3.1,3.2,14.6,2.7
Lauri Markkanen,0.492,0.835,7.2,0.9,0.4,0.5,1.1,2,15.6,6.7
Jamal Murray,0.454,0.783,5.2,2.2,1,0.3,2.3,2.1,20,6.1
Kyle Kuzma,0.504,0.669,9.3,2.4,0.6,0.5,2.1,1.6,16.4,4.5
