,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Karl-Anthony Towns,Kentucky,9,520,17722,11945,5785,1647,0.525,0.394,0.835,34.1,23,11.1,3.2,69.5,0.188,4.6,29.7
2,2,LAL,D'Angelo Russell,Ohio State,9,505,15115,8940,1751,2876,0.426,0.361,0.789,29.9,17.7,3.5,5.7,20,0.063,0.6,10.1
3,3,PHI,Jahlil Okafor,Duke,6,247,4827,2566,1169,225,0.542,0.222,0.676,19.5,10.4,4.7,0.9,7.2,0.071,-2,0
4,4,NYK,Kristaps Porziņģis,,8,411,12774,8052,3251,727,0.454,0.36,0.827,31.1,19.6,7.9,1.8,36.3,0.136,2.2,13.6
5,5,ORL,Mario Hezonja,,5,330,6107,2284,1026,415,0.417,0.319,0.812,18.5,6.9,3.1,1.3,3.2,0.025,-2.8,-1.2
6,6,SAC,Willie Cauley-Stein,Kentucky,7,422,9276,3675,2470,598,0.544,0.188,0.612,22,8.7,5.9,1.4,23.3,0.121,-0.1,4.4
7,7,DEN,Emmanuel Mudiay,,6,302,7187,3299,884,1143,0.401,0.323,0.744,23.8,10.9,2.9,3.8,-0.2,-0.001,-3.2,-2.2
8,8,DET,Stanley Johnson,Arizona,8,449,8879,2806,1404,679,0.391,0.305,0.748,19.8,6.2,3.1,1.5,6.9,0.037,-2.7,-1.6
9,9,CHO,Frank Kaminsky,Wisconsin,8,413,8160,3630,1579,651,0.43,0.349,0.746,19.8,8.8,3.8,1.6,15.9,0.094,-0.2,3.7
10,10,MIA,Justise Winslow,Duke,8,344,8906,2829,1760,889,0.412,0.315,0.638,25.9,8.2,5.1,2.6,8.2,0.044,-2.1,-0.3
11,11,IND,Myles Turner,Texas,9,503,14478,6778,3424,618,0.498,0.355,0.772,28.8,13.5,6.8,1.2,39,0.129,0.8,10.3
12,12,UTA,Trey Lyles,Kentucky,8,523,9463,4065,2253,543,0.443,0.342,0.749,18.1,7.8,4.3,1,17,0.086,-1,2.3
13,13,PHO,Devin Booker,Kentucky,9,532,17979,12751,2120,2542,0.461,0.357,0.869,33.8,24,4,4.8,36.3,0.097,0.9,13.3
14,14,OKC,Cameron Payne,Murray State,9,336,6125,2687,740,1135,0.422,0.368,0.819,18.2,8,2.2,3.4,9.5,0.074,-0.6,2.2
15,15,ATL,Kelly Oubre Jr.,Kansas,9,535,13841,6871,2364,543,0.435,0.33,0.752,25.9,12.8,4.4,1,20,0.069,-1.7,1
16,16,BOS,Terry Rozier,Louisville,9,545,14838,7478,2145,1853,0.417,0.366,0.819,27.2,13.7,3.9,3.4,26,0.084,0.4,9
17,17,MIL,Rashad Vaughn,UNLV,3,139,1671,423,158,75,0.337,0.313,0.692,12,3,1.1,0.5,-0.6,-0.017,-4.7,-1.2
18,18,HOU,Sam Dekker,Wisconsin,5,201,3097,1094,607,160,0.478,0.288,0.606,15.4,5.4,3,0.8,5.4,0.083,-1.4,0.5
19,19,WAS,Jerian Grant,Notre Dame,5,279,4998,1692,530,805,0.411,0.323,0.77,17.9,6.1,1.9,2.9,8.3,0.08,-1.6,0.5
20,20,TOR,Delon Wright,Utah,9,469,9939,3361,1518,1475,0.454,0.353,0.806,21.2,7.2,3.2,3.1,27,0.13,2.3,10.7
21,21,DAL,Justin Anderson,Virginia,6,242,3280,1284,621,184,0.41,0.292,0.775,13.6,5.3,2.6,0.8,4.9,0.072,-1.5,0.4
22,22,CHI,Bobby Portis,Arkansas,9,532,11850,6113,3719,656,0.474,0.379,0.753,22.3,11.5,7,1.2,26.6,0.108,-0.5,4.7
23,23,POR,Rondae Hollis-Jefferson,Arizona,6,305,6759,2760,1684,579,0.449,0.212,0.735,22.2,9,5.5,1.9,12.9,0.091,-0.7,2.3
24,24,CLE,Tyus Jones,Duke,9,544,10554,3714,1022,2151,0.436,0.358,0.812,19.4,6.8,1.9,4,25.2,0.115,0.5,6.8
25,25,MEM,Jarell Martin,LSU,4,184,2927,998,639,114,0.434,0.346,0.766,15.9,5.4,3.5,0.6,3.2,0.053,-4.3,-1.7
