,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Ben Simmons,LSU,6,322,10588,4710,2530,2419,0.56,0.139,0.59,32.9,14.6,7.9,7.5,32.9,0.149,3.3,14.2
2,2,LAL,Brandon Ingram,Duke,8,416,13717,7985,2163,1686,0.465,0.363,0.784,33,19.2,5.2,4.1,22.3,0.078,-0.1,6.7
3,3,BOS,Jaylen Brown,California,8,475,14128,8541,2483,1067,0.476,0.365,0.723,29.7,18,5.2,2.2,30,0.102,0.3,8.1
4,4,PHO,Dragan Bender,,4,187,3755,1014,720,237,0.399,0.323,0.654,20.1,5.4,3.9,1.3,0.5,0.006,-3.9,-1.9
5,5,MIN,Kris Dunn,Providence,8,273,6544,2308,924,1168,0.431,0.311,0.743,24,8.5,3.4,4.3,5.7,0.042,-1.8,0.3
6,6,NOP,Buddy Hield,Oklahoma,8,554,16300,8882,2426,1427,0.434,0.402,0.857,29.4,16,4.4,2.6,21.6,0.064,0.4,9.8
7,7,DEN,Jamal Murray,Kentucky,7,417,12733,7051,1533,1774,0.447,0.374,0.869,30.5,16.9,3.7,4.3,26.5,0.1,0.5,7.9
8,8,SAC,Marquese Chriss,Washington,6,292,5338,2206,1366,298,0.456,0.29,0.667,18.3,7.6,4.7,1,6.5,0.058,-2.4,-0.5
9,9,TOR,Jakob Poeltl,Utah,8,495,10496,4006,3241,807,0.629,0.5,0.535,21.2,8.1,6.5,1.6,35.4,0.162,1.2,8.3
10,10,MIL,Thon Maker,,5,263,3624,1216,726,161,0.435,0.327,0.68,13.8,4.6,2.8,0.6,6.6,0.087,-2.1,-0.1
11,11,ORL,Domantas Sabonis,Gonzaga,8,499,14712,7558,4859,2095,0.548,0.325,0.729,29.5,15.1,9.7,4.2,47.8,0.156,2.5,16.8
12,12,UTA,Taurean Prince,Baylor,8,428,10244,4434,1580,735,0.421,0.372,0.818,23.9,10.4,3.7,1.7,9.8,0.046,-1.9,0.1
13,13,PHO,Georgios Papagiannis,,2,39,477,160,123,29,0.514,0,0.857,12.2,4.1,3.2,0.7,0.4,0.044,-3.9,-0.2
14,14,CHI,Denzel Valentine,Michigan State,5,256,4817,1795,857,466,0.394,0.36,0.787,18.8,7,3.3,1.8,4.5,0.044,-1.9,0.2
15,15,DEN,Juancho Hernangómez,,7,339,5269,1711,1131,216,0.428,0.342,0.676,15.5,5,3.3,0.6,8.7,0.08,-1.9,0.1
16,16,BOS,Guerschon Yabusele,,2,74,486,173,105,31,0.442,0.323,0.682,6.6,2.3,1.4,0.4,1.1,0.105,-1.9,0
17,17,MEM,Wade Baldwin,Vanderbilt,3,56,579,174,69,78,0.355,0.25,0.776,10.3,3.1,1.2,1.4,-0.3,-0.028,-5.3,-0.5
18,18,DET,Henry Ellenson,Marquette,5,83,787,342,206,49,0.371,0.336,0.773,9.5,4.1,2.5,0.6,0.4,0.023,-3.7,-0.3
19,19,DEN,Malik Beasley,Florida State,8,422,9261,4561,1124,551,0.422,0.379,0.801,21.9,10.8,2.7,1.3,12,0.062,-1.2,2
20,20,IND,Caris LeVert,Michigan,8,398,11197,5645,1524,1570,0.435,0.344,0.733,28.1,14.2,3.8,3.9,16.5,0.071,-0.5,4.3
21,21,ATL,DeAndre' Bembry,Saint Joseph's,6,296,5670,1750,950,533,0.474,0.283,0.611,19.2,5.9,3.2,1.8,4.4,0.038,-2.3,-0.4
22,22,CHO,Malachi Richardson,Syracuse,3,70,625,198,70,24,0.358,0.301,0.783,8.9,2.8,1,0.3,-0.1,-0.009,-6.1,-0.7
23,23,BOS,Ante Žiži?,,3,113,1517,674,446,64,0.581,,0.711,13.4,6,3.9,0.6,3.5,0.11,-2.6,-0.2
24,24,PHI,Timothé Luwawu-Cabarrot,,6,328,5254,1937,656,293,0.391,0.335,0.829,16,5.9,2,0.9,4.7,0.043,-4,-2.7
25,25,LAC,Brice Johnson,UNC,2,21,107,47,34,3,0.449,0,0.6,5.1,2.2,1.6,0.1,0.1,0.062,-0.6,0
26,26,PHI,Furkan Korkmaz,,7,296,5189,2175,619,367,0.408,0.358,0.763,17.5,7.3,2.1,1.2,7.4,0.069,-1.9,0.2
27,27,TOR,Pascal Siakam,New Mexico State,8,478,14681,8118,3121,1689,0.486,0.328,0.774,30.7,17,6.5,3.5,41.4,0.135,1.9,14.6
28,28,PHO,Skal Labissière,Kentucky,4,148,2595,1069,662,152,0.492,0.353,0.748,17.5,7.2,4.5,1,4.4,0.081,-2.3,-0.2
29,29,SAS,Dejounte Murray,Washington,7,400,11158,5637,2338,2025,0.459,0.334,0.786,27.9,14.1,5.8,5.1,21.7,0.094,1.6,10.1
30,30,GSW,Damian Jones,Vanderbilt,8,245,3545,1266,814,180,0.663,0.383,0.705,14.5,5.2,3.3,0.7,10.5,0.142,-1.1,0.8
31,31,BOS,Deyonta Davis,Michigan State,3,107,1299,454,346,47,0.599,0,0.635,12.1,4.2,3.2,0.4,3.6,0.131,-2.1,0
32,32,LAL,Ivica Zubac,,8,441,9135,3877,3146,488,0.605,0.083,0.739,20.7,8.8,7.1,1.1,33.2,0.175,0.2,5.1
33,33,LAC,Cheick Diallo,Kansas,5,183,2186,958,759,78,0.596,0.286,0.774,11.9,5.2,4.1,0.4,6.3,0.139,-1.4,0.3
34,34,PHO,Tyler Ulis,Kentucky,3,133,2782,998,223,537,0.403,0.28,0.808,20.9,7.5,1.7,4,0.5,0.008,-3.6,-1.1
35,35,BOS,Rade Zagorac,,,,,,,,,,,,,,,,,,
36,36,MIL,Malcolm Brogdon,Virginia,8,407,12013,6292,1715,1887,0.465,0.387,0.877,29.5,15.5,4.2,4.6,30.6,0.122,1.4,10.2
37,37,HOU,Chinanu Onuaku,Louisville,2,6,74,18,14,4,0.583,,1,12.3,3,2.3,0.7,0.1,0.043,-5.4,-0.1
38,38,MIL,Patrick McCaw,UNLV,5,199,3373,760,319,270,0.42,0.305,0.785,16.9,3.8,1.6,1.4,4.4,0.062,-2.8,-0.6
39,39,NOP,David Michineau,,,,,,,,,,,,,,,,,,
40,40,NOP,Diamond Stone,Maryland,1,7,24,10,6,0,0.231,,1,3.4,1.4,0.9,0,-0.1,-0.211,-20.8,-0.1
41,41,ORL,Stephen Zimmerman,UNLV,1,19,108,23,35,4,0.323,,0.6,5.7,1.2,1.8,0.2,0,-0.005,-8.3,-0.2
42,42,UTA,Isaiah Whitehead,Seton Hall,2,89,1823,643,210,212,0.411,0.305,0.788,20.5,7.2,2.4,2.4,-0.9,-0.025,-5,-1.4
43,43,HOU,Zhou Qi,,2,19,125,24,22,2,0.212,0.105,0.667,6.6,1.3,1.2,0.1,-0.2,-0.093,-9.6,-0.2
44,44,ATL,Isaïa Cordinier,,,,,,,,,,,,,,,,,,
45,45,BOS,Demetrius Jackson,Notre Dame,3,26,136,48,19,17,0.486,0.286,0.667,5.2,1.8,0.7,0.7,0.2,0.087,-0.5,0.1
46,46,DAL,A.J. Hammons,Purdue,1,22,163,48,36,4,0.405,0.5,0.45,7.4,2.2,1.6,0.2,0,-0.001,-6.6,-0.2
47,47,ORL,Jake Layman,Maryland,6,243,3099,1175,417,127,0.46,0.3,0.719,12.8,4.8,1.7,0.5,3.8,0.059,-2.3,-0.2
48,48,CHI,Paul Zipser,,2,98,1667,458,256,82,0.371,0.335,0.769,17,4.7,2.6,0.8,0,-0.001,-5.2,-1.4
