,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Andrew Wiggins,Kansas,10,646,22412,12268,2876,1489,0.449,0.352,0.718,34.7,19,4.5,2.3,26.1,0.056,-1.5,2.6
2,2,MIL,Jabari Parker,Duke,8,310,8535,4380,1703,610,0.494,0.326,0.743,27.5,14.1,5.5,2,13.8,0.078,-0.8,2.5
3,3,PHI,Joel Embiid,Kansas,8,403,12828,11010,4507,1405,0.501,0.337,0.82,31.8,27.3,11.2,3.5,57.8,0.216,6.6,27.7
4,4,ORL,Aaron Gordon,Arizona,10,606,17651,8133,3828,1555,0.474,0.325,0.684,29.1,13.4,6.3,2.6,36.5,0.099,0.2,9.7
5,5,UTA,Dante Exum,,7,254,4616,1420,457,524,0.408,0.307,0.76,18.2,5.6,1.8,2.1,3.3,0.034,-3.3,-1.5
6,6,BOS,Marcus Smart,Oklahoma State,10,591,17762,6275,2084,2754,0.387,0.322,0.777,30.1,10.6,3.5,4.7,33.3,0.09,-0.3,7.5
7,7,LAL,Julius Randle,Kentucky,10,604,19185,11282,5675,2202,0.468,0.333,0.744,31.8,18.7,9.4,3.6,39.7,0.099,0.8,13.6
8,8,SAC,Nik Stauskas,Michigan,6,343,6701,2290,691,515,0.389,0.354,0.812,19.5,6.7,2,1.5,3.9,0.028,-3,-1.7
9,9,CHH,Noah Vonleh,Indiana,8,362,5854,1685,1790,264,0.459,0.307,0.692,16.2,4.7,4.9,0.7,9.4,0.077,-2.5,-0.7
10,10,PHI,Elfrid Payton,Louisiana,8,500,13383,5036,2007,2868,0.447,0.287,0.623,26.8,10.1,4,5.7,15.8,0.057,-0.9,3.7
11,11,DEN,Doug McDermott,Creighton,10,601,12500,5579,1388,604,0.474,0.412,0.813,20.8,9.3,2.3,1,20.5,0.079,-2,0.1
12,12,ORL,Dario Šari?,,7,424,9991,4631,2368,792,0.442,0.359,0.837,23.6,10.9,5.6,1.9,18.7,0.09,-0.9,2.9
13,13,MIN,Zach LaVine,UCLA,10,565,18334,11600,2266,2215,0.464,0.383,0.834,32.4,20.5,4,3.9,31.2,0.082,0.6,12.2
14,14,PHO,T.J. Warren,NC State,8,374,10240,5456,1493,437,0.506,0.354,0.78,27.4,14.6,4,1.2,20.8,0.097,-0.3,4.2
15,15,ATL,Adreian Payne,Michigan State,4,107,1403,429,315,66,0.406,0.254,0.68,13.1,4,2.9,0.6,-0.6,-0.019,-5.9,-1.4
16,16,CHI,Jusuf Nurki?,,10,473,11480,5810,4076,1098,0.5,0.287,0.672,24.3,12.3,8.6,2.3,26.7,0.112,0.4,7
17,17,BOS,James Young,Kentucky,4,95,812,219,96,28,0.367,0.277,0.563,8.5,2.3,1,0.3,0.8,0.046,-3.4,-0.3
18,18,PHO,Tyler Ennis,Syracuse,4,186,2336,779,250,359,0.419,0.317,0.768,12.6,4.2,1.3,1.9,1.3,0.026,-3.4,-0.8
